year,acquisition_date,acquisition_month,acquisition_year,candidate_for_composite,cloud_cover_land_pct,cloud_cover_scene_pct,collection_id,day_of_year,earth_engine_asset_id,epoch,has_positive_core_coverage,landsat7_orbit_drift_period,landsat_product_id,landsat_scene_id,relative_year,sensor_key,sensor_role,slc_off,system_index,valid_area_context_m2,valid_area_core_m2,valid_fraction_context,valid_fraction_core,wrs_path,wrs_row,selected_sensor_mode,quality_flag
2000,2000-03-15,3,2000,True,50.0,50.0,LANDSAT/LE07/C02/T1_L2,75,LANDSAT/LE07/C02/T1_L2/LE07_185057_20000315,2000,True,False,LE07_L2SP_185057_20000315_20200918_02_T1,LE71850572000075EDC00,0,LE07,supplemental,False,LE07_185057_20000315,218842238.43366823,73071276.07382166,0.27641803930368747,0.2522056105380081,185,57,primary_plus_supplemental,PASS
2000,2000-03-15,3,2000,True,50.0,50.0,LANDSAT/LE07/C02/T1_L2,75,LANDSAT/LE07/C02/T1_L2/LE07_185058_20000315,2000,True,False,LE07_L2SP_185058_20000315_20200918_02_T1,LE71850582000075EDC00,0,LE07,supplemental,False,LE07_185058_20000315,67634172.10432847,16436189.789471319,0.08542823075113644,0.056729531814721845,185,58,primary_plus_supplemental,PASS
2000,2000-05-02,5,2000,True,61.0,61.0,LANDSAT/LE07/C02/T1_L2,123,LANDSAT/LE07/C02/T1_L2/LE07_185057_20000502,2000,True,False,LE07_L2SP_185057_20000502_20200918_02_T1,LE71850572000123EDC00,0,LE07,supplemental,False,LE07_185057_20000502,28497526.064986885,5759023.271959731,0.03599501785518894,0.019877276796696798,185,57,primary_plus_supplemental,PASS
2000,2000-05-02,5,2000,True,80.0,80.0,LANDSAT/LE07/C02/T1_L2,123,LANDSAT/LE07/C02/T1_L2/LE07_185058_20000502,2000,True,False,LE07_L2SP_185058_20000502_20200918_02_T1,LE71850582000123EDC00,0,LE07,supplemental,False,LE07_185058_20000502,34106186.95997913,4850476.284908999,0.04307927662904046,0.016741425612982638,185,58,primary_plus_supplemental,PASS
2000,2000-05-18,5,2000,True,22.0,22.0,LANDSAT/LE07/C02/T1_L2,139,LANDSAT/LE07/C02/T1_L2/LE07_185057_20000518,2000,True,False,LE07_L2SP_185057_20000518_20200918_02_T1,LE71850572000139EDC00,0,LE07,supplemental,False,LE07_185057_20000518,697586529.0063148,281228695.3391061,0.8811164698949853,0.9706612313318698,185,57,primary_plus_supplemental,PASS
2000,2000-05-18,5,2000,True,73.0,73.0,LANDSAT/LE07/C02/T1_L2,139,LANDSAT/LE07/C02/T1_L2/LE07_185058_20000518,2000,True,False,LE07_L2SP_185058_20000518_20200918_02_T1,LE71850582000139EDC00,0,LE07,supplemental,False,LE07_185058_20000518,109682618.0708374,30432053.09069824,0.13853931695194951,0.10503627337656829,185,58,primary_plus_supplemental,PASS
2000,2000-06-03,6,2000,True,69.0,69.0,LANDSAT/LE07/C02/T1_L2,155,LANDSAT/LE07/C02/T1_L2/LE07_185057_20000603,2000,True,False,LE07_L2SP_185057_20000603_20200918_02_T1,LE71850572000155EDC00,0,LE07,supplemental,False,LE07_185057_20000603,102606636.59443095,35477066.31028646,0.12960169622636766,0.12244914348893808,185,57,primary_plus_supplemental,PASS
2000,2000-12-12,12,2000,True,46.0,46.0,LANDSAT/LE07/C02/T1_L2,347,LANDSAT/LE07/C02/T1_L2/LE07_185057_20001212,2000,True,False,LE07_L2SP_185057_20001212_20200917_02_T1,LE71850572000347EDC00,0,LE07,supplemental,False,LE07_185057_20001212,88190890.51102583,32039344.07107652,0.11139327222195658,0.11058384042068296,185,57,primary_plus_supplemental,PASS
2000,2000-12-12,12,2000,True,53.0,53.0,LANDSAT/LE07/C02/T1_L2,347,LANDSAT/LE07/C02/T1_L2/LE07_185058_20001212,2000,True,False,LE07_L2SP_185058_20001212_20200917_02_T1,LE71850582000347EDC00,0,LE07,supplemental,False,LE07_185058_20001212,23953019.85651712,8203146.061698405,0.030254885124233525,0.028313169989435765,185,58,primary_plus_supplemental,PASS
2000,2000-12-28,12,2000,True,44.0,44.0,LANDSAT/LE07/C02/T1_L2,363,LANDSAT/LE07/C02/T1_L2/LE07_185057_20001228,2000,True,False,LE07_L2SP_185057_20001228_20200917_02_T1,LE71850572000363SGS00,0,LE07,supplemental,False,LE07_185057_20001228,270393269.345206,97730327.32709435,0.34153177141792995,0.33731636007982063,185,57,primary_plus_supplemental,PASS
